==== DQN Training Boxes Positions ====

==== Episode 1 START ====
    Step 49 | Box 35 placed at (4, 6, 9) rot=3, size=(1, 1, 1)
==== Episode 9 END ====
==== Episode 10 START ====
    Step 0 | Box 38 placed at (2, 0, 0) rot=2, size=(4, 5, 3)
    Step 1 | Box 6 placed at (2, 3, 3) rot=2, size=(5, 5, 2)
    Step 2 | Box 39 placed at (7, 4, 0) rot=3, size=(3, 3, 5)
    Step 3 | Box 36 placed at (1, 0, 5) rot=4, size=(3, 7, 2)
    Step 4 | Box 33 placed at (8, 3, 5) rot=4, size=(2, 4, 4)
    Step 5 | Box 0 placed at (6, 5, 5) rot=3, size=(2, 3, 5)
    Step 6 | Box 1 placed at (0, 8, 0) rot=2, size=(3, 1, 10)
    Step 7 | Box 18 placed at (4, 8, 0) rot=2, size=(3, 1, 10)
    Step 8 | Box 22 placed at (0, 3, 7) rot=2, size=(2, 5, 3)
    Step 9 | Box 24 placed at (5, 0, 5) rot=3, size=(3, 5, 2)
    Step 11 | Box 28 placed at (4, 5, 5) rot=0, size=(2, 3, 5)
    Step 14 | Box 4 placed at (8, 0, 0) rot=2, size=(2, 3, 4)
    Step 18 | Box 12 placed at (3, 2, 9) rot=3, size=(7, 3, 1)
    Step 21 | Box 17 placed at (3, 8, 0) rot=0, size=(1, 2, 10)
    Step 23 | Box 41 placed at (2, 5, 7) rot=1, size=(2, 3, 3)
    Step 29 | Box 21 placed at (0, 0, 0) rot=2, size=(1, 3, 5)
    Step 30 | Box 23 placed at (7, 9, 0) rot=3, size=(3, 1, 5)
    Step 31 | Box 43 placed at (8, 7, 5) rot=1, size=(1, 3, 5)
    Step 33 | Box 9 placed at (9, 7, 5) rot=0, size=(1, 3, 4)
    Step 35 | Box 2 placed at (0, 0, 5) rot=2, size=(1, 2, 5)
    Step 36 | Box 3 placed at (8, 1, 4) rot=0, size=(2, 1, 5)
    Step 39 | Box 20 placed at (2, 0, 7) rot=4, size=(1, 5, 2)
    Step 47 | Box 15 placed at (9, 5, 9) rot=4, size=(1, 5, 1)
==== Episode 10 END ====
==== Episode 11 START ====
    Step 0 | Box 28 placed at (4, 7, 0) rot=0, size=(4, 2, 8)
    Step 1 | Box 25 placed at (1, 3, 0) rot=3, size=(9, 2, 3)
    Step 2 | Box 26 placed at (2, 0, 3) rot=4, size=(2, 9, 3)
    Step 3 | Box 8 placed at (9, 2, 3) rot=4, size=(1, 8, 6)
    Step 4 | Box 21 placed at (3, 4, 6) rot=3, size=(5, 3, 3)
    Step 5 | Box 22 placed at (0, 4, 3) rot=0, size=(2, 4, 5)
    Step 6 | Box 3 placed at (0, 0, 8) rot=1, size=(2, 9, 2)
    Step 7 | Box 6 placed at (5, 0, 3) rot=3, size=(3, 4, 3)
    Step 10 | Box 40 placed at (4, 7, 8) rot=5, size=(5, 3, 2)
    Step 11 | Box 46 placed at (0, 9, 0) rot=0, size=(3, 1, 9)
    Step 13 | Box 1 placed at (4, 0, 9) rot=2, size=(4, 6, 1)
    Step 17 | Box 32 placed at (8, 1, 3) rot=0, size=(1, 4, 6)
    Step 21 | Box 49 placed at (2, 7, 6) rot=0, size=(2, 2, 4)
    Step 25 | Box 4 placed at (8, 0, 9) rot=3, size=(2, 7, 1)
    Step 26 | Box 0 placed at (2, 3, 6) rot=5, size=(1, 4, 3)
    Step 33 | Box 16 placed at (3, 9, 0) rot=5, size=(1, 1, 10)
    Step 39 | Box 29 placed at (2, 2, 6) rot=4, size=(2, 1, 4)
    Step 44 | Box 9 placed at (2, 6, 9) rot=0, size=(6, 1, 1)
    Step 49 | Box 12 placed at (1, 9, 9) rot=5, size=(2, 1, 1)
==== Episode 11 END ====
==== Episode 12 START ====
    Step 0 | Box 5 placed at (3, 0, 0) rot=3, size=(3, 5, 5)
    Step 1 | Box 19 placed at (0, 0, 5) rot=0, size=(5, 7, 2)
    Step 2 | Box 31 placed at (2, 7, 0) rot=4, size=(5, 2, 6)
    Step 3 | Box 2 placed at (7, 3, 0) rot=0, size=(1, 6, 8)
    Step 4 | Box 6 placed at (0, 3, 7) rot=0, size=(6, 4, 2)
    Step 5 | Box 15 placed at (2, 7, 8) rot=3, size=(8, 3, 2)
    Step 6 | Box 16 placed at (9, 0, 0) rot=4, size=(1, 4, 10)
    Step 8 | Box 17 placed at (5, 0, 5) rot=2, size=(4, 3, 3)
    Step 9 | Box 29 placed at (0, 8, 0) rot=1, size=(2, 2, 8)
    Step 10 | Box 3 placed at (6, 1, 8) rot=3, size=(3, 5, 2)
    Step 20 | Box 22 placed at (0, 2, 9) rot=1, size=(2, 8, 1)
